:START_ID(Process),:END_ID(File)
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\hu-HU\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\id-ID\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\it-IT\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\ja-JP\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\kk-KZ\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\ko-KR\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\lt-LT\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\lv-LV\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\ms-MY\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\nb-NO\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\nl-NL\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\pl-PL\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\pt-BR\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\pt-PT\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\ro-RO\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\ru-RU\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\sk-SK\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\sl-SI\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\sr-Cyrl-RS\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\sr-Latn-RS\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\sv-SE\WindowsAdvancedSettings.resources.dll
08846768-740d-68ce-6800-000000000e00,C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.2100.858.0_x64__8wekyb3d8bbwe\WindowsAdvancedSettingsStub\th-TH\WindowsAdvancedSettings.resources.dll
